00000000000000000000 3.59220227533050717739e+00 -5.75481217345024997911e-01 00000000000000000088 4.74882467711460751569e-24
2.58315720529896097890e-03 3.59296394391709439375e+00 -5.75479312863343639428e-01 8.79991657119676489174e+01 1.35193419679384782160e-04
5.16629682395841009074e-03 3.59372916962729282986e+00 -5.75476839605885914786e-01 8.79983124764138011642e+01 2.76497470187085181512e-04
7.74940126945856955221e-03 3.59449795490872281434e+00 -5.75473796267389481329e-01 8.79974402740393770728e+01 4.23913733948187482128e-04
1.03324529555191297475e-02 3.59527030218329324285e+00 -5.75470181532390490098e-01 8.79965490858096757165e+01 5.77443638967789127890e-04
1.29154342962189676997e-02 3.59604621384747913382e+00 -5.75465994075973097388e-01 8.79956388929724653281e+01 7.37088420120349968080e-04
1.54983277061159028382e-02 3.59682569227161286207e+00 -5.75461232561793045726e-01 8.79947096770281547151e+01 9.02849212669933694382e-04
1.80811156003663868475e-02 3.59760873980094908475e+00 -5.75455895645938131366e-01 8.79937614197864661492e+01 1.07472686279629103291e-03
2.06637803948452533631e-02 3.59839535875435112544e+00 -5.75449981972651403161e-01 8.79927941033072329446e+01 1.25272213270025091145e-03
2.32463045062654173611e-02 3.59918555142483809206e+00 -5.75443490176424932159e-01 8.79918077099320328216e+01 1.43683559671741053164e-03
2.58286703522975918945e-02 3.59997932007934773324e+00 -5.75436418881375089107e-01 8.79908022222776935450e+01 1.62706766946312192737e-03
2.84108603516900135033e-02 3.60077666695925158180e+00 -5.75428766706675864917e-01 8.79897776232665620455e+01 1.82341834004965666280e-03
3.09928569243880722150e-02 3.60157759427845203248e+00 -5.75420532250418337306e-01 8.79887338960387666020e+01 2.02588795244812262808e-03
3.35746424916540803229e-02 3.60238210422547844303e+00 -5.75411714109055338895e-01 8.79876710240600772295e+01 2.23447626049256675013e-03
3.61561994761869162640e-02 3.60319019896215575471e+00 -5.75402310866461208505e-01 8.79865889910621064018e+01 2.44918295607937956324e-03
3.87375103022416650278e-02 3.60400188062376480858e+00 -5.75392321096301340155e-01 8.79854877810558093643e+01 2.67000755215113152324e-03
4.13185573957493418318e-02 3.60481715131894064896e+00 -5.75381743362056052860e-01 8.79843673783319957238e+01 2.89694937922055145360e-03
4.38993231844364839578e-02 3.60563601312955395173e+00 -5.75370576217080653691e-01 8.79832277674614573471e+01 3.13000758041182729555e-03
4.64797900979448119774e-02 3.60645846811159787038e+00 -5.75358818189252718689e-01 8.79820689333428305190e+01 3.36918185376646004553e-03
4.90599405679508632216e-02 3.60728451829188978550e+00 -5.75346467831323926667e-01 8.79808908610510229664e+01 3.61447000817238794923e-03
5.16397570282855211676e-02 3.60811416567204057415e+00 -5.75333523655855216816e-01 8.79796935360326131104e+01 3.86587111673778686255e-03
5.42192219150537807471e-02 3.60894741222597081887e+00 -5.75319984173351395285e-01 8.79784769439930443014e+01 4.12338366522774397993e-03
5.67983176667541181382e-02 3.60978425990033224835e+00 -5.75305847883646692686e-01 8.79772410709231422743e+01 4.38700596769922568363e-03
5.93770267243982005634e-02 3.61062471061440115605e+00 -5.75291113275833376761e-01 8.79759859030999962215e+01 4.65673616787860063931e-03
6.19553315316303740423e-02 3.61146876625997270693e+00 -5.75275778828178041557e-01 8.79747114270882377696e+01 4.93257224109596749406e-03
6.45332145348472135948e-02 3.61231642870125924105e+00 -5.75259843008025351097e-01 8.79734176297415615409e+01 5.21451199692733128460e-03
6.71106581833170040552e-02 3.61316769977478324805e+00 -5.75243304271678690398e-01 8.79721044982041746607e+01 5.50255308290218368705e-03
6.96876449292992278250e-02 3.61402258127974906898e+00 -5.75226161103022715082e-01 8.79707720194523972168e+01 5.79669110939627120482e-03
7.22641572281641081377e-02 3.61488107501102673424e+00 -5.75208411878457837041e-01 8.79694201818941081683e+01 6.09692619779264588509e-03
7.48401775385119094608e-02 3.61574318271470174224e+00 -5.75190055048007797822e-01 8.79680489732294148553e+01 6.40325419537305512430e-03
7.74156883222925085164e-02 3.61660890611469909572e+00 -5.75171089025725779109e-01 8.79666583817428602288e+01 6.71567198822460142277e-03
7.99906720449247571336e-02 3.61747824690652297619e+00 -5.75151512214788551702e-01 8.79652483960084623504e+01 7.03417628220279287504e-03
8.25651111754157757128e-02 3.61835120675711285898e+00 -5.75131323007487926802e-01 8.79638190048898991336e+01 7.35876360156802016010e-03
8.51389881864804548561e-02 3.61922778730469474340e+00 -5.75110519785213214483e-01 8.79623701975403236020e+01 7.68943028759066105754e-03
8.77122855546606100541e-02 3.62010799015862350103e+00 -5.75089100918454110278e-01 8.79609019634024917877e+01 8.02617249663192811049e-03
9.02849857604444694381e-02 3.62099181689923188543e+00 -5.75067064766813906829e-01 8.79594142922085779901e+01 8.36898619751707227576e-03
9.28570712883857868336e-02 3.62187926907765245232e+00 -5.75044409679028034610e-01 8.79579071739795068652e+01 8.71786716866763435052e-03
9.54285246272232184905e-02 3.62277034821563814759e+00 -5.75021133993001032358e-01 8.79563805990237881360e+01 9.07281099450934352957e-03
9.79993282699994638918e-02 3.62366505584671649842e+00 -5.74997235943504159117e-01 8.79548345599351506507e+01 9.43381753917751399163e-03
1.00569464714180475950e-01 3.62456339336710842147e+00 -5.74972713995624995498e-01 8.79532690443920017742e+01 9.80087477546648551396e-03
1.03138916461774601818e-01 3.62546536224003856930e+00 -5.74947566386243003045e-01 8.79516840450447432431e+01 1.01739810173446954683e-02
1.05707666019451862471e-01 3.62637096386961488292e+00 -5.74921791406761806265e-01 8.79500795534253256847e+01 1.05531312080145659588e-02
