00000000000000000000 -2.00444205771019356987e+00 -5.71634762380146876914e-01 00000000000000000028 4.53810559845139573581e-18
7.81443485547565069860e-03 -2.00331652557920758539e+00 -5.71644622294241622207e-01 2.80020653584319738627e+01 5.81974208120245722897e-04
1.56283925121375351364e-02 -2.00221036940055485687e+00 -5.71649357931694357404e-01 2.80040844908887294196e+01 1.13666925620460016085e-03
2.34413958003126705887e-02 -2.00112354704206474310e+00 -5.71648997578585005286e-01 2.80060574832337714213e+01 1.66406815626258131752e-03
3.12529676086078303521e-02 -2.00005601510493713491e+00 -5.71643568649661260039e-01 2.80079844262190178483e+01 2.16416058267304787371e-03
3.90626309130450363738e-02 -1.99900772892295841565e+00 -5.71633097714236204645e-01 2.80098654152597319467e+01 2.63694325552864435036e-03
4.68699088061915875025e-02 -1.99797864257433577251e+00 -5.71617610492191063898e-01 2.80117005505702820756e+01 3.08241950815441251646e-03
5.46743245262831176201e-02 -1.99696870888948208034e+00 -5.71597131864556962100e-01 2.80134899372154571040e+01 3.50059924530328340012e-03
6.24754014863376089250e-02 -1.99597787943935367494e+00 -5.71571685906005155786e-01 2.80152336846609628651e+01 3.89149949246012224688e-03
7.02726633032589032002e-02 -1.99500610455696625323e+00 -5.71541295870779175736e-01 2.80169319072380922364e+01 4.25514367462408692189e-03
7.80656338269275495989e-02 -1.99405333332977718896e+00 -5.71505984218373064287e-01 2.80185847238473115794e+01 4.59156197055837680260e-03
8.58538371692776497435e-02 -1.99311951360321759630e+00 -5.71465772622734902164e-01 2.80201922579831936844e+01 4.90079121380146073839e-03
9.36367977333575213228e-02 -1.99220459199936872352e+00 -5.71420681969325494620e-01 2.80217546381888986673e+01 5.18287445752323508441e-03
1.01414040242372674450e-01 -1.99130851386212270882e+00 -5.71370732413637116842e-01 2.80232719965511236637e+01 5.43786220775139585160e-03
1.09185089768709248093e-01 -1.99043122332502209204e+00 -5.71315943336399456598e-01 2.80247444705213162308e+01 5.66581083693026756748e-03
1.16949471762936074715e-01 -1.98957266170307400799e+00 -5.71256333081377687400e-01 2.80261722018225256647e+01 5.86678344406867634253e-03
1.24706712082783596762e-01 -1.98873277374657742023e+00 -5.71191920153612753275e-01 2.80275553367275236383e+01 6.04084963652903438741e-03
1.32456337022098163958e-01 -1.98791149830258451203e+00 -5.71122721497465901663e-01 2.80288940259413976719e+01 6.18808549789707802030e-03
1.40197873339769407686e-01 -1.98710877454079115623e+00 -5.71048753618404014709e-01 2.80301884254157798182e+01 6.30857317771593185951e-03
1.47930848288629207543e-01 -1.98632454030941230094e+00 -5.70970032370877067507e-01 2.80314386937411903489e+01 6.40240214052426211133e-03
1.55654789644321001063e-01 -1.98555873225529277981e+00 -5.70886572911124101637e-01 2.80326449954999752379e+01 6.46966746842880368468e-03
1.63369225734136341854e-01 -1.98481128574457965641e+00 -5.70798389747180556775e-01 2.80338074992588985879e+01 6.51047081425256551901e-03
1.71073685465818581264e-01 -1.98408213487336237968e+00 -5.70705496745018137084e-01 2.80349263780072917029e+01 6.52492014764352069867e-03
1.78767698356330495546e-01 -1.98337121246097392024e+00 -5.70607907143073966871e-01 2.80360018091462741552e+01 6.51312972221353061325e-03
1.86450794560585164650e-01 -1.98267845004265597098e+00 -5.70505633567040981724e-01 2.80370339744789660585e+01 6.47522004211968042059e-03
1.94122504900137410333e-01 -1.98200377786156556326e+00 -5.70398688044964297106e-01 2.80380230602013540420e+01 6.41131782810465747358e-03
2.01782360891835127470e-01 -1.98134712491299525006e+00 -5.70287082010547452526e-01 2.80389692583187652986e+01 6.32155564867663451178e-03
2.09429894776427566461e-01 -1.98070841874834013829e+00 -5.70170826361088622924e-01 2.80398727616012095609e+01 6.20607305325844658267e-03
2.17064639547129734076e-01 -1.98008758571821075201e+00 -5.70049931416704347420e-01 2.80407337703993100320e+01 6.06501496451579066860e-03
2.24686128978140969847e-01 -1.97948455080809648798e+00 -5.69924406971043406855e-01 2.80415524884885485335e+01 5.89853259239406756131e-03
2.32293897653115311019e-01 -1.97889923766286890405e+00 -5.69794262300072684724e-01 2.80423291240235279531e+01 5.70678317767397622062e-03
2.39887480993583035449e-01 -1.97833156857523562167e+00 -5.69659506179123087399e-01 2.80430638895368282704e+01 5.48992995322542670644e-03
2.47466415287320606886e-01 -1.97778146447360492211e+00 -5.69520146900295953785e-01 2.80437570019382533815e+01 5.24814210426526907283e-03
2.55030237716668051196e-01 -1.97724884490939101234e+00 -5.69376192290256377682e-01 2.80444086825152325559e+01 4.98159472799180984282e-03
2.62578486386791154494e-01 -1.97673362809679309393e+00 -5.69227649728827111986e-01 2.80450191583630505932e+01 4.69046879483320418303e-03
2.70110700353888233405e-01 -1.97623573070646063599e+00 -5.69074526165708083347e-01 2.80455886571987704770e+01 4.37495108507367832379e-03
2.77626419653337785931e-01 -1.97575506811675860597e+00 -5.68916828142539965363e-01 2.80461174145221647791e+01 4.03523418690323893571e-03
2.85125185327787133982e-01 -1.97529155423475843989e+00 -5.68754561810294934077e-01 2.80466056691958698366e+01 3.67151642141584546447e-03
2.92606539455178948916e-01 -1.97484510151918524201e+00 -5.68587732949735080723e-01 2.80470536644833856599e+01 3.28400180620409647136e-03
3.00070025176715493576e-01 -1.97441562096455514030e+00 -5.68416346991822640788e-01 2.80474616480554992393e+01 2.87290000967195492329e-03
3.07515186724756528491e-01 -1.97400302208480860067e+00 -5.68240409038610949644e-01 2.80478298719974361575e+01 2.43842630442121007656e-03
